potential_donor_id,latitude,longitude,abo,rhd,contacted_status,signup_date,source,email,phone
POT000001,17.515785650650383,78.4857245138589,,,not-contacted,2026-03-24,synthetic,user02@example.com,+917178681781
POT000002,17.423705678649284,78.50156665829991,B,pos,not-contacted,2024-08-20,synthetic,user12@gmail.com,+918645168536
POT000003,17.421431671216233,78.38369007302074,O,pos,not-contacted,2025-06-08,synthetic,user23@yahoo.co.in,+918843370832
POT000004,17.36360043076486,78.45312368295414,B,pos,not-contacted,2024-10-06,synthetic,user33@outlook.com,+918301842673
POT000005,17.482516835924987,78.48135271737009,,,not-contacted,2025-11-29,synthetic,user42@example.com,+917655618634
POT000006,18.789785517289932,78.48678284617644,AB,pos,not-contacted,2024-07-28,synthetic,user52@gmail.com,+919444910760
POT000007,17.422852940663034,72.81669821619029,,,not-contacted,2025-01-13,synthetic,user63@yahoo.co.in,+918926096926
POT000008,17.428024442242858,78.46213586943581,A,neg,not-contacted,2026-01-26,synthetic,user73@outlook.com,+917292129527
POT000009,17.382923852699008,78.47613910618394,,,not-contacted,2025-02-07,synthetic,user82@example.com,+916406908090
POT000010,17.403399537733442,72.83296759906835,,,not-contacted,2024-12-07,synthetic,user92@gmail.com,+917581522593
POT000011,17.495180357550534,78.50043200999389,,,not-contacted,2026-01-31,synthetic,user103@yahoo.co.in,+918287599060
POT000012,21.16845382225702,78.45534388558644,B,pos,not-contacted,2025-12-13,synthetic,user113@outlook.com,+918113305181
POT000013,17.50292956719814,78.45442808766269,AB,pos,not-contacted,2024-07-26,synthetic,user122@example.com,+918841326149
POT000014,17.40698432617137,78.45565930535372,,,not-contacted,2025-07-15,synthetic,user132@gmail.com,+918042513364
POT000015,17.08193006232941,78.49936074417919,,,not-contacted,2024-11-20,synthetic,user143@yahoo.co.in,+919093562789
POT000016,14.682915144204179,78.23503391650773,B,pos,not-contacted,2024-12-07,synthetic,user153@outlook.com,+917379562209
POT000017,17.3834716536469,78.53536404031635,B,pos,not-contacted,2025-03-16,synthetic,user162@example.com,+917502000743
POT000018,17.403289652231187,72.86552183187607,O,pos,not-contacted,2024-10-06,synthetic,user172@gmail.com,+916741931262
POT000019,17.41643147922388,78.44465477865378,O,pos,not-contacted,2026-03-23,synthetic,user183@yahoo.co.in,+916916502820
POT000020,17.412298103705407,78.48620619446004,B,pos,not-contacted,2025-09-05,synthetic,user193@outlook.com,+916669890936
POT000021,17.372831169817232,78.46154762938272,O,pos,not-contacted,2025-05-04,synthetic,user202@example.com,+917289853309
POT000022,17.385090220943905,78.6114782133028,A,pos,not-contacted,2025-11-25,synthetic,user212@gmail.com,+917624836260
POT000023,17.3785654200945,78.48139701003147,B,pos,not-contacted,2024-08-14,synthetic,user223@yahoo.co.in,+919367064999
POT000024,17.405363635513606,78.48526511089835,A,pos,not-contacted,2024-06-24,synthetic,user233@outlook.com,+919573705334
POT000025,17.376837435114613,78.57248264697742,,,not-contacted,2024-09-25,synthetic,user242@example.com,+918264199603
POT000026,17.364497962206286,78.48487170662135,,,not-contacted,2026-01-30,synthetic,user252@gmail.com,+916831122212
POT000027,17.441530586005758,77.59061465371693,B,pos,not-contacted,2024-07-12,synthetic,user263@yahoo.co.in,+918299559126
POT000028,17.391913092849904,78.43616280898304,A,pos,not-contacted,2025-12-25,synthetic,user273@outlook.com,+916120481826
